Ticker,Quarterly_Context,Monthly_Context,Weekly_Context,Monthly_Signal,Monthly_Anchor_Date,Monthly_Test1_Date,Monthly_Test2_Date,Weekly_Signal,Weekly_Anchor_Date,Weekly_Test1_Date,Weekly_Test2_Date,Daily_Confirmation,Verdict,Priority,Action,Entry_Trigger,Invalidation,Key_Level_Support,Key_Level_Resistance,Weekly_CLV,Weekly_RelVol,Current_Price
A,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,STOPPING_VOLUME_CONFIRMED_EARLY,2026-02-23,2026-03-23,,TEST_OBSERVED,BULLISH,MEDIUM,ENTER_NOW,Price break above 115.24 on increased volume,110.00,110.03,121.38,0.6,0.3,114.2
AAOI,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-16,,,NONE,NEUTRAL,LOW,WAIT_FOR_TEST,Successful test of 85.00 level with low volume and high CLV,84.00,84.60,96.81,0.93,0.84,113.9
ABT,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-16,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Break below 102.40,109.50,102.41,105.46,-0.3,0.46,104.06
ABVX,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Rejection of the 120.00 level on low volume,127.50,105.78,110.17,-0.84,0.41,110.17
ACAD,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,NONE,,,,BUYING_CLIMAX_CONFIRMED_EARLY,2026-03-16,2026-03-23,,TEST_OBSERVED,BEARISH,MEDIUM,ENTER_NOW,Break below 20.36,22.00,19.89,20.96,0.04,0.45,20.96
ACLX,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2025-12-01,,,BUYING_CLIMAX_WATCH_FOR_TEST,2026-02-23,,,TEST_OBSERVED,BEARISH,LOW,WAIT_FOR_TEST,Break below 113.50,115.00,113.62,114.69,0.53,0.41,114.69
ACM,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2026-02-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Break of support at 88.00,94.00,88.11,91.06,-0.71,0.32,88.85
ACN,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,BUYING_CLIMAX_WATCH_FOR_TEST,2026-03-16,,,TEST_OBSERVED,BEARISH,LOW,WAIT_FOR_TEST,Break below 187.00 support,205.00,187.00,193.54,-0.58,0.38,193.54
ACWI,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-03-09,2026-03-23,,NONE,BEARISH,MEDIUM,ENTER_PENDING_DAILY,Break below 135.85,142.00,135.85,138.04,-0.45,0.57,138.04
ACWX,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-03-09,2026-03-23,,TEST_OBSERVED,BEARISH,MEDIUM,ENTER_NOW,Failure to hold 66.00,70.00,66.05,67.50,-0.3,0.52,67.5
ADBE,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-09,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Break of 237.00 support,258.00,237.41,248.15,-0.79,0.42,238.87
ADM,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-16,,,TEST_OBSERVED,NEUTRAL,LOW,WAIT_FOR_TEST,Increase in volume on an up-bar closing above 72.00,65.00,65.07,71.44,0.95,0.38,71.44
ADP,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-02-01,,,BUYING_CLIMAX_WATCH_FOR_TEST,2026-03-16,,,TEST_OBSERVED,BEARISH,LOW,WAIT_FOR_TEST,Break below 203.80,214.00,203.85,204.89,-0.78,0.48,204.89
AEHR,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-03-02,2026-03-23,,TEST_OBSERVED,BEARISH,HIGH,ENTER_NOW,Rejection of 40.00 on low volume,43.00,33.40,39.19,0.74,0.58,39.19
AEVA,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-01-01,2026-03-01,,NONE,,,,TEST_OBSERVED,NEUTRAL,MEDIUM,MONITOR,A high volume breakout above 16.00 or breakdown below 12.00,13.50,12.50,15.46,0.55,0.25,15.46
AGIO,BULLISH_TREND,BEARISH_TREND,BEARISH_TREND,STOPPING_VOLUME_CONFIRMED_EARLY,2025-12-01,2026-03-01,,NONE,,,,NONE,NEUTRAL,MEDIUM,MONITOR,High volume close above 30.50,26.00,26.84,28.35,0.44,0.25,28.35
