Ticker,Quarterly_Context,Monthly_Context,Weekly_Context,Monthly_Signal,Monthly_Anchor_Date,Monthly_Test1_Date,Monthly_Test2_Date,Weekly_Signal,Weekly_Anchor_Date,Weekly_Test1_Date,Weekly_Test2_Date,Daily_Confirmation,Verdict,Priority,Action,Entry_Trigger,Invalidation,Key_Level_Support,Key_Level_Resistance,Weekly_CLV,Weekly_RelVol,Current_Price
AAOI,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-06-01,,,NONE,,,,TEST_OBSERVED,NEUTRAL,LOW,MONITOR,A high-volume bullish reversal bar that breaks and closes above 120.00.,109.21,109.21,117.59,-0.36,0.11,111.88
AAPL,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-06-22,2026-07-13,,TEST_OBSERVED,BULLISH,HIGH,ENTER_NOW,A clean breakout above 323.45 on expanding volume or a bullish engulfing bar from 315.00.,307.00,307.00,315.78,-0.6,0.18,317.31
ABT,BULLISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-03-01,2026-07-01,,NONE,,,,NONE,NEUTRAL,MEDIUM,MONITOR,A bullish recovery bar reclaiming 94.00 on above-average volume.,91.64,91.64,94.00,-0.6,0.16,92.11
ABVX,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,STOPPING_VOLUME_CONFIRMED_STRONG,2026-06-22,2026-07-06,2026-07-13,TEST_OBSERVED,BULLISH,HIGH,ENTER_NOW,A high-volume breakout above 140.00 or a rebound from the 134.60 support level.,131.86,134.60,139.90,-0.33,0.13,135.98
ACM,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-01,,,NONE,,,,TEST_OBSERVED,BEARISH,LOW,MONITOR,A breakdown and close below 66.28 on high volume.,70.83,66.28,68.87,0.69,0.15,68.68
ACN,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-06-01,2026-07-01,,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-06-15,2026-07-13,,TEST_OBSERVED,BEARISH,VERY_HIGH,ENTER_NOW,"A break below 135.00 on expanding volume, or a bearish rejection from the 141.50 level.",143.97,129.50,138.52,-0.12,0.13,138.52
ACWI,BEARISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,NEUTRAL,LOW,MONITOR,"A strong, wide-spread breakout above 158.53 on high relative volume.",153.05,153.05,155.68,-0.6,0.1,155.94
ACWX,BEARISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,BEARISH,LOW,MONITOR,A clean breakdown below 74.00 on increased volume.,75.74,74.00,74.93,-0.66,0.09,74.35
ADBE,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-06-01,2026-07-01,,NONE,,,,TEST_OBSERVED,BULLISH,MEDIUM,MONITOR,A breakout above 232.08 on volume expansion.,212.90,212.90,225.00,0.58,0.15,230.61
ADP,BULLISH_TREND,BEARISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,BULLISH,LOW,MONITOR,A clean breakout above 251.64 or a bullish rejection of the 244.00 level.,235.19,243.78,248.42,0.85,0.16,251.05
