Ticker,Quarterly_Context,Monthly_Context,Weekly_Context,Monthly_Signal,Monthly_Anchor_Date,Monthly_Test1_Date,Monthly_Test2_Date,Weekly_Signal,Weekly_Anchor_Date,Weekly_Test1_Date,Weekly_Test2_Date,Daily_Confirmation,Verdict,Priority,Action,Entry_Trigger,Invalidation,Key_Level_Support,Key_Level_Resistance,Weekly_CLV,Weekly_RelVol,Current_Price
ABT,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-19,,,NONE,BEARISH (Short-term exhaustion likely),LOW,WAIT_FOR_TEST,Wait for a successful Test of Supply (low volume bounce/consolidation near 106),"N/A (Too volatile currently, wait for consolidation base formation)",105.78 (Recent Low),110.00 (Psychological),-0.8,2.58,107.42
ABVX,BEARISH_TREND,BULLISH_TREND,BULLISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2026-01-01,,,BUYING_CLIMAX_CONFIRMED_EARLY,2026-01-12,2026-01-19,,TEST_OBSERVED,BEARISH,MEDIUM,ENTER_NOW,Failure to hold 120 (mid-point of W5 spread) followed by renewed high volume selling.,Break above 130.13 (W4 high) on high effort,113.64 (Recent Low Support),125.86 (Immediate Resistance),0.39,0.67,122.12
ACLX,BULLISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2025-12-01,,,NONE,,,,NONE,BEARISH (Intermediate weakness),LOW,MONITOR,Break below 66.00 on increasing volume.,A strong rally and hold above 70.00,76.50 (Supply High),66.00 (Previous Support/Resistance),-0.68,1.51,67.7
ACN,BULLISH_TREND,BEARISH_TREND,BULLISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2025-09-01,,,NONE,,,,NONE,BULLISH,LOW,MONITOR,"Low volume reaction back towards 279-280, followed by a Sign of Strength.",Close below 273.00 (W4 Low),279.50 (Recent Demand Zone),291.08 (Recent High),0.05,0.76,281.07
AEO,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2025-09-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Break and sustained trade below 24.08 (W5 Low).,Close above 26.69 (W5 High),24.08 (W5 Low Support),25.44 (W4 Close/Support),-0.96,0.66,24.14
AEVA,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2026-01-01,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-12,,,TEST_OBSERVED,BEARISH,LOW,WAIT_FOR_TEST,Break below 15.76 on volume.,Close above 20.60 (W5 High),22.62 (Supply High),17.45 (W4 Low/Support),-0.99,1.23,15.79
AGIO,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,STOPPING_VOLUME_CONFIRMED_EARLY,2025-12-01,2026-01-01,,NONE,,,,TEST_OBSERVED,BULLISH,MEDIUM,MONITOR,Break above 29.10 with increasing volume.,Close below 26.25,26.25 (Confirmed Support/Shakeout Low),29.10 (Immediate Resistance),0.61,0.61,28.54
AIG,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-05,,,TEST_OBSERVED,BEARISH,LOW,WAIT_FOR_TEST,Break and close below 71.25 on high volume.,Close above 76.04 (W4 High),71.25 (Recent Low Support),73.70 (Immediate Resistance),-0.13,0.7,72.32
AIQ,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2025-11-01,,,NONE,,,,TEST_OBSERVED,BULLISH,LOW,MONITOR,Break above 53.25 on above-average volume.,Close below 51.83 (W4 Low),50.87 (W5 Low/Demand Test),53.25 (Recent High/Supply Zone),0.81,0.9,52.51
AL,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2025-09-01,,,NONE,,,,NONE,NEUTRAL (Bias Bullish),LOW,MONITOR,Break above 64.47 on high volume.,Close below 64.00,64.07 (Consolidation Support),64.47 (Consolidation Resistance),0.47,0.51,64.42
ALC,BULLISH_TREND,BEARISH_TREND,BULLISH_TREND,STOPPING_VOLUME_CONFIRMED_EARLY,2025-10-01,2026-01-01,,NONE,,,,NONE,BULLISH,MEDIUM,MONITOR,Break above 81.65 (W4 high) on volume.,Close below 77.00,77.88 (W4 Low Support),82.50 (Recent High Resistance),0.05,0.74,80.29
ALL,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-12,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Break and close below 191.13 on high volume.,Close above 196.09,191.13 (Selling Climax Low Support),196.09 (Immediate Resistance),0.02,0.91,193.65
AMBA,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-05,,,TEST_OBSERVED,BULLISH (Counter-trend setup),LOW,WAIT_FOR_TEST,Break and close above 68.73 (W4 close) on increasing volume.,Close below 64.00,64.00 (Stopping Volume Low/Support),70.77 (Immediate Resistance),-0.37,0.72,67.19
AMH,BULLISH_TREND,BEARISH_TREND,BULLISH_TREND,NONE,,,,STOPPING_VOLUME_WATCH_FOR_TEST,2026-01-05,,,TEST_OBSERVED,BULLISH,LOW,WAIT_FOR_TEST,Break and close above 32.45 (W4 high) on volume.,Close below 31.50,32.65 (Recent High/Resistance),31.50 (Immediate Support),0.08,0.95,31.99
AMZU,BEARISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2025-09-01,,,NONE,,,,NONE,BULLISH (Counter-trend setup),LOW,MONITOR,Break above 37.45 (W5 High) on increasing volume.,Close below 36.34 (W4 Low),36.35 (Demand Support),40.40 (Recent High/Supply Resistance),0.8,0.75,37.05
ARE,BULLISH_TREND,BEARISH_TREND,BEARISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2025-12-01,,,NONE,,,,NONE,BULLISH,LOW,MONITOR,Break above 59.76 on volume.,Close below 57.88 (W4 Close),56.00 (Immediate Support),59.76 (Recent High/Target),0.96,0.96,59.69
ARES,BULLISH_TREND,BEARISH_TREND,BEARISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2025-12-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Break and close below 155.74 on volume.,Close above 170.22 (W5 High),155.74 (W5 Low),166.43 (W4 Low Support),-0.98,0.63,155.89
ARWR,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-01-05,2026-01-19,,TEST_OBSERVED,BEARISH,HIGH,ENTER_NOW,"Failure to hold 67.00, followed by a close below 63.33 (W4 low).",Close above 71.16,61.65 (W5 Low Support),68.44 (W4 High Resistance),0.14,0.64,67.05
AS,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2025-10-01,2026-01-01,,NONE,,,,NONE,BULLISH,MEDIUM,MONITOR,Entry on continuation above 37.74.,Close below 36.45,37.74 (W5 High/Target),36.45 (W4 Low Support),0.98,0.79,37.72
AVAV,BULLISH_TREND,BULLISH_TREND,BEARISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2026-01-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Break and close below 300.00 on increasing volume.,Close above 390.04 (W5 High),408.25 (Climax High),300.00 (W5 Low Support),-0.83,1.44,307.75
AXTA,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2025-10-01,,,NONE,,,,TEST_OBSERVED,BULLISH,LOW,MONITOR,Break above 34.20 on renewed high volume.,Close below 32.80 (W4 Low),32.76 (Immediate Support),34.20 (W5 High/Resistance),0.19,0.62,33.62
AXTI,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2026-01-01,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-12,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Break and sustained trade below 17.01.,Close above 22.69 (W5 High),26.66 (Distribution High),17.01 (W5 Low Support),-0.86,1.29,17.4
AZN,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,STOPPING_VOLUME_WATCH_FOR_TEST,2026-01-12,,,NONE,BULLISH,LOW,WAIT_FOR_TEST,Entry on volume confirmation above 94.38 (W4 close).,Close below 92.77 (W4 Low),92.78 (W4 Low Support),96.51 (Recent High/Supply Target),0.98,1.08,92.95
BABX,BEARISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2025-10-01,,,NONE,,,,NONE,NEUTRAL (Bias Bearish),LOW,MONITOR,Break above 49.31 on high volume (bullish) OR break below 42.82 (bearish).,N/A (Too wide range currently),49.31 (Distribution High),42.82 (W5 Low Support),0.16,0.85,48.91
BAH,BULLISH_TREND,BEARISH_TREND,BULLISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2025-12-01,,,NONE,,,,NONE,BEARISH (Short-term reversal likely),LOW,MONITOR,Break and close below 97.40 (W4 close) on increasing volume.,Close above 109.10,109.10 (Supply High),96.73 (W5 Open/Support),0.13,1.01,102.23
BANC,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,BUYING_CLIMAX_CONFIRMED_STRONG,2025-10-01,2025-11-01,2025-12-01,NONE,,,,NONE,BEARISH,MEDIUM,MONITOR,Break and close below 19.88 on high volume.,Close above 21.09 (W4 High),19.88 (W5 Low Support),21.61 (Recent High/Supply),-0.96,0.94,19.92
BBIO,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,STOPPING_VOLUME_WATCH_FOR_TEST,2026-01-12,,,TEST_OBSERVED,BULLISH,LOW,WAIT_FOR_TEST,Break above 79.88 on increasing volume.,Close below 73.77,79.88 (Supply Resistance),73.77 (W5 Low Support),0.09,0.9,77.87
BBT,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,BUYING_CLIMAX_WATCH_FOR_TEST,2025-12-01,,,NONE,,,,NONE,NEUTRAL (Potential Pullback),LOW,MONITOR,Test of 27.00 with low volume and subsequent bounce (Test of Demand).,Break and hold above 29.63,27.00 (W5 Low Support),29.63 (Supply High),-0.04,0.72,28.26
BBWI,BULLISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2025-11-01,2026-01-01,,NONE,,,,TEST_OBSERVED,NEUTRAL (Bias Bearish),MEDIUM,MONITOR,Break below 21.58 on volume.,Close above 23.73,21.58 (W5 Low Support),23.73 (Recent High/Supply),-0.13,0.45,22.2
