Ticker,Quarterly_Context,Monthly_Context,Weekly_Context,Monthly_Signal,Monthly_Anchor_Date,Monthly_Test1_Date,Monthly_Test2_Date,Weekly_Signal,Weekly_Anchor_Date,Weekly_Test1_Date,Weekly_Test2_Date,Daily_Confirmation,Verdict,Priority,Action,Entry_Trigger,Invalidation,Key_Level_Support,Key_Level_Resistance,Weekly_CLV,Weekly_RelVol,Current_Price
AAOI,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Wait for a low-volume test of the 143.58 support area to confirm exhaustion of supply.,143.58,233.67,143.58,-0.75,1.12,158.41
ABT,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,BEARISH,LOW,MONITOR,Look for short entries if price breaks below the 81.97 low with expanding spread.,87.41,91.00,84.08,-0.36,1.23,85.6
ABVX,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-01-01,,,NONE,,,,NONE,BULLISH,LOW,MONITOR,Entry on a minor intraday pullback or a break of the 135.07 high.,120.80,135.07,120.80,0.66,1.41,132.63
ACLX,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,BUYING_CLIMAX_WATCH_FOR_TEST,2026-04-27,,,NONE,NEUTRAL,LOW,WAIT_FOR_TEST,None due to flatline status.,114.60,115.13,114.60,0.14,2.55,115.07
ACM,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-01,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-25,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,"Short position on any weak, low-volume rally back to 73.50.",73.56,73.56,69.21,-0.93,4.03,69.37
ACMR,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,BUYING_CLIMAX_WATCH_FOR_TEST,2026-05-11,,,NONE,NEUTRAL,LOW,WAIT_FOR_TEST,Wait for a successful low-volume test of the 76.37 support level.,76.37,94.21,76.37,0.14,1.78,86.56
ACN,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,BULLISH,LOW,MONITOR,Breakout above the high of last week (188.24) on high volume.,173.84,188.24,155.82,0.84,0.94,187.07
ACWI,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,BULLISH,LOW,MONITOR,Entry on breakout above 159.05 on expanding volume.,156.90,159.05,156.90,0.53,0.57,158.54
ACWX,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,NONE,BULLISH,LOW,MONITOR,Break above 76.98 high with supportive volume.,75.64,76.98,75.64,0.28,0.67,76.5
ADP,BULLISH_TREND,BEARISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,TEST_OBSERVED,BULLISH,LOW,MONITOR,Long entry on a successful test of the 215.60 support area.,215.60,227.43,215.60,0.46,0.78,221.84
ADSK,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,STOPPING_VOLUME_WATCH_FOR_TEST,2026-05-25,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,"Short entry on weak, low-volume retracement back toward 238.00.",244.34,244.34,217.00,0.05,2.1,231.31
AEO,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-25,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Short on a break below the 14.54 support level.,16.84,18.46,14.54,-0.36,2.18,15.8
AEP,BEARISH_TREND,BULLISH_TREND,BEARISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-11,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Short on a break of the 124.68 key monthly support level.,131.94,132.12,126.14,-0.82,1.33,126.67
AEVA,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_CONFIRMED_EARLY,2026-01-01,2026-04-01,,NONE,,,,TEST_OBSERVED,BULLISH,MEDIUM,MONITOR,High volume break of the 29.82 level or limit buy on a test of 24.50.,24.49,29.82,24.49,0.38,1.68,28.18
AFL,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,NONE,,,,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-05-25,,,NONE,BEARISH,LOW,WAIT_FOR_TEST,Short entry on break of 111.91 support.,117.00,117.77,111.91,-0.83,1.8,112.42
AIQ,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,SUPPLY_DOMINANCE_WATCH_FOR_TEST,2026-03-01,,,NONE,,,,NONE,BULLISH,LOW,MONITOR,Immediate entry on break of 67.43 with follow-through volume.,64.12,67.43,64.12,0.94,1.28,67.32
AJG,BEARISH_TREND,BEARISH_TREND,BEARISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2026-02-01,,,NONE,,,,NONE,BEARISH,LOW,MONITOR,Short on a confirmed breakdown below 190.75.,208.99,208.99,200.04,-0.76,0.71,201.11
AKAM,BULLISH_TREND,BULLISH_TREND,BULLISH_TREND,STOPPING_VOLUME_WATCH_FOR_TEST,2026-04-01,,,NONE,,,,NONE,BULLISH,LOW,MONITOR,Long entry on break above 150.14.,141.69,165.45,141.69,0.86,0.87,149.54
